hedge,usage_a,usage_b,hedge_type,subcategory
通常,,,HPROP,
大体,,,HPROP,
大概,,,HPROP,
大致,,,HPROP,
常常,,,HPROP,
往往,,,HPROP,
经常,,,HPROP,
每每,,,HPROP,
屡屡,,,HPROP,
屡见不鲜,,,HPROP,
频繁地,,,HPROP,
凡是,,,HPROP,
平日,,,HPROP,
一贯,,,HPROP,
一般,,,HPROP,
一向,,,HPROP,
偶尔,,,HPROP,
偶然,,,HPROP,
一时,,,HPROP,
不常,,,HPROP,
难得,,,HPROP,
很少,,,HPROP,
大致,,,HPROP,
大抵,,,HPROP,
大略,,,HPROP,
不多,,,HPROP,
不少,,,HPROP,
些许,,,HPROP,
一些,,,HPROP,
几个,,,HPROP,
一点,,,HPROP,
一点点,,,HPROP,
有点,,,HPROP,
有点儿,,,HPROP,
少许,,,HPROP,
极少,,,HPROP,
多多少少,,,HPROP,
很大程度上,,,HPROP,
某种程度上,,,HPROP,
某种意义上,,,HPROP,
有些程度上,,,HPROP,
一些程度上,,,HPROP,
一定程度上,,,HPROP,
一定范围内,,,HPROP,
某种范围内,,,HPROP,
几乎,,,HPROP,
差不多,,,HPROP,
简直,,,HPROP,
基本上是,,,HPROP,
显然,,,HPROP,
不言而喻,,,HPROP,
显而易见,,,HPROP,
不问可知,,,HPROP,
明显地,,,HPROP,
分明,,,HPROP,
明白,,,HPROP,
明确,,,HPROP,
或多或少,,,HPROP,
些许,,,HPROP,
有些,,,HPROP,
部分地,,,HPROP,
不一定,,,HPROP,
某,,,HPROP,
以某种方式,,,HPROP,
不知怎么的,,,HPROP,
不知何故,,,HPROP,
不知为何,,,HPROP,
某人,,,HPROP,
有人,,,HPROP,
某地,,,HPROP,
某时,,,HPROP,
有时,,,HPROP,
某事,,,HPROP,
有些,,,HPROP,
有所,,,HPROP,
有点儿,,,HPROP,
疑似 ,,,HPROP,
近似,,,HPROP,
算是,,,HPROP,
可以说,,,HPROP,
算得上,,,HPROP,
潜在,,,HPROP,
嗯,,,HPROP,
呃,,,HPROP,
这个,,,HPROP,
那个,,,HPROP,
怎么说呢,,,HPROP,
吧?,,,HPROP,
这,,,HPROP,
想,,,HREL,
想来,,,HREL,
想必,,,HREL,
想前顾后,,,HREL,
猜,,,HREL,
猜想,,,HREL,
猜测,,,HREL,
认为,,,HREL,
认定,,,HREL,
觉得,,,HREL,
觉着,,,HREL,
感觉,,,HREL,
以为,,,HREL,
认识,,,HREL,
相信,,,HREL,
断定,,,HREL,
肯定,,,HREL,
确信,,,HREL,
推断,,,HREL,
推测,,,HREL,
假设,,,HREL,
估计,,,HREL,
揣测,,,HREL,
估摸,,,HREL,
估量,,,HREL,
猜想,,,HREL,
揣度,,,HREL,
猜度,,,HREL,
臆度,,,HREL,
臆想,,,HREL,
预计,,,HREL,
看似,,,HREL,
似乎,,,HREL,
看起来是,,,HREL,
犹如,,,HREL,
仿佛,,,HREL,
好像,,,HREL,
类似,,,HREL,
乍一看是,,,HREL,
大概,,,HREL,
好像,,,HREL,
不妨,,,HREL,
能够,,,HREL,
可以,,,HREL,
恐怕,,,HREL,
也许,,,HREL,
可能,,,HREL,
或许,,,HREL,
有可能,,,HREL,
应该,,,HREL,
应当,,,HREL,
理当,,,HREL,
理应,,,HREL,
按理说,,,HREL,
不一定,,,HREL,
未必,,,HREL,
不确定,,,HREL,
不好说,,,HREL,
说不清,,,HREL,
不知道,,,HREL,
不定,,,HREL,
别人说,,,HREL,
大家说,,,HREL,
听说,,,HREL,
据说,,,HREL,
据传,,,HREL,
传闻,,,HREL,
话说,,,HREL,
众所周知,,,HREL,
据可靠消息,,,HREL,
据,,,HREL,
说,,,HREL,
称,,,HREL,
声称,,,HREL,